href;firstName;lastName;rank_score_Women's Bantamweight;rank_Women's Bantamweight
80fa8218c99f9c58;Amanda;Nunes;592.46;1
3253b16d38ae087d;Julianna;Pena;280.67;2
fc169c387b4b465d;Raquel;Pennington;277.32;3
b9706f80d005036c;Ketlen;Vieira;221.6;4
91dac5e69e28d5b5;Pannie;Kianzad;80.56;5
634e2fb70bde3fd5;Holly;Holm;70.56;6
578ef12674df1e6a;Irene;Aldana;53.81;7
cc8c623cca88f54f;Mayra;Bueno Silva;49.57;8
bd532e9a2b93870c;Melissa;Dixon;39.88;9
103e2e33a60683e1;Irina;Alekseeva;34.09;10
351c4ec637380ad5;Karol;Rosa;33.36;11
7be74a12d7352df2;Sara;McMann;32.8;12
4c2d90e335e6df19;Alexis;Davis;30.21;13
3143bf892608139a;Yana;Santos;26.34;14
f2b3f4ef3f780168;Nora;Cornolle;24.14;15
2c5f5749569eef66;Tainara;Lisboa;22.33;16
5e6294b37bbef029;Stephanie;Egger;20.68;17
a78a87d8c2bbb1cb;Julija;Stoliarenko;19.76;18
f9ab66e67240db7b;Joselyne;Edwards;15.09;19
b1e5bcaad32a3cac;Priscila;Cachoeira;13.41;20
06e4245d16fc5315;Ailin;Perez;13.38;21
6c8072b61c276e67;Jessica-Rose;Clark;10.86;22
68d35296f566792b;Josiane;Nunes;10.36;23
4234f0097c83fa62;Sijara;Eubanks;7.02;24
9cdd2da1a9104a0b;Macy;Chiasson;6.93;25
b96619b3acd7d9da;Miesha;Tate;6.56;26
60193e707634e560;Montserrat;Rendon;5.75;27
3cf66c62d9069f43;Lucie;Pudilova;5.38;28
9b7dfb3b7d99926a;Vanessa;Melo;5.21;29
1d239d571e342453;Germaine;de Randamie;4.79;30
4f3064faf17aa711;Tamires;Vidal;4.5;31
86d9dbe1bfcbade7;Julia;Avila;3.85;32
5c637af9472ae7cc;Jamey-Lyn;Horth;3.8;33
d3f5d33d61cd00c9;Norma;Dumont;2.9;34
d4691518d012b9e7;Aspen;Ladd;1.52;35
b60c980f79b87ce8;Bea;Malecki;1.38;36
68d4a891e5cf2029;Tracy;Cortez;1.16;37
f72465a784c1b084;Jessica;Eye;0.0;38
dcbf01d605681ad1;Elizabeth;Phillips;0.0;39
c7d297714d9ab1a4;Marion;Reneau;0.0;40
a7ddae0be8b78147;Jessamyn;Duke;0.0;41
e872e9a9a902c045;Katlyn;Chookagian;0.0;42
016a8d958883167c;Gina;Mazany;0.0;43
8bdac25ce0bb874d;Ronda;Rousey;0.0;44
76984112f697631f;Leslie;Smith;0.0;45
729d4bd5a6cd0a97;Lauren;Murphy;0.0;46
6a1901c62ab3870f;Jessica;Andrade;0.0;47
673ea7dcc786b1b3;Bethe;Correia;0.0;48
5b2325cd70dbe2ea;Talita;Bernardo;0.0;49
539ed332b3078821;Sarah;Moras;0.0;50
51a0c09cbe9b8472;Liz;Carmouche;0.0;51
46a2f24feb258ae0;Valerie;Letourneau;0.0;52
3ecd936bd8814108;Cat;Zingano;0.0;53
36df8e119aec6175;Sarah;Kaufman;0.0;54
36541f1e6c5d4955;Viviane;Araujo;0.0;55
2eeaefbfc7f9fcff;Lina;Lansberg;0.0;56
132deb59abae64b1;Valentina;Shevchenko;0.0;57
072a10e85f7d4bff;Milana;Dudieva;0.0;58
fc6e681bf6658faf;Ashlee;Evans-Smith;0.0;59
