href;firstName;lastName;rank_score_Women's Featherweight;rank_Women's Featherweight
d3f5d33d61cd00c9;Norma;Dumont;133.03;1
9cdd2da1a9104a0b;Macy;Chiasson;81.59;2
80fa8218c99f9c58;Amanda;Nunes;36.92;3
351c4ec637380ad5;Karol;Rosa;35.76;4
fc169c387b4b465d;Raquel;Pennington;27.37;5
68d35296f566792b;Josiane;Nunes;6.69;6
5e6294b37bbef029;Stephanie;Egger;4.5;7
39d91e95949de3d9;Felicia;Spencer;3.87;8
f9ab66e67240db7b;Joselyne;Edwards;3.4;9
a0e75f4a13eb73f1;Megan;Anderson;0.49;10
1d239d571e342453;Germaine;de Randamie;0.0;11
634bb0de2eb043b4;Cristiane;Justino;0.0;12
634e2fb70bde3fd5;Holly;Holm;0.0;13
8cb78f3a6c2a08f7;Leah;Letson;0.0;14
