href;firstName;lastName;rank_score_Women's Flyweight;rank_Women's Flyweight
34ff304266360297;Manon;Fiorot;1632.13;1
e8b731feff72294b;Alexa;Grasso;1256.42;2
669970f7feba8ecd;Erin;Blanchfield;813.35;3
132deb59abae64b1;Valentina;Shevchenko;651.63;4
6a740daf1b279661;Maycee;Barber;544.14;5
36541f1e6c5d4955;Viviane;Araujo;465.32;6
e872e9a9a902c045;Katlyn;Chookagian;331.33;7
6a1901c62ab3870f;Jessica;Andrade;272.91;8
8e1f36476ef02a6a;Jennifer;Maia;263.94;9
beecb672a279223e;Amanda;Ribas;248.75;10
68d4a891e5cf2029;Tracy;Cortez;161.69;11
f7467152fd9f18a2;Taila;Santos;160.83;12
262d32ebda89efc4;Natalia;Silva;137.27;13
6551c64fbcd1a467;Ariane;Lipski;115.68;14
f29a6350c69f4a33;Miranda;Maverick;113.61;15
a9e260472d321361;Jasmine;Jasudavicius;106.75;16
04835018f90b118c;Casey;O'Neill;105.72;17
729d4bd5a6cd0a97;Lauren;Murphy;99.78;18
05fa626cb33d15b8;Andrea;Lee;96.43;19
38c7f72747f4f712;Gillian;Robertson;86.14;20
9d62c2d8ee151f08;Karine;Silva;82.48;21
6fd953151d981979;JJ;Aldrich;75.46;22
d343df8ba11f4c4e;Nina;Nunes;60.36;23
cd2c4d30c6e13b47;Marina;Rodriguez;57.33;24
b4192a975027aab6;Maryna;Moroz;55.01;25
a78a87d8c2bbb1cb;Julija;Stoliarenko;51.16;26
12f91bfa8f1f723b;Joanne;Wood;49.42;27
51018a31ddf31eb2;Molly;McCann;40.8;28
a08ddd04eaffd81d;Mariya;Agapova;37.6;29
a4a80dd7336ffd59;Melissa;Gatto;30.26;30
98215d037be5bcb7;Cynthia;Calvillo;19.97;31
b08012bbe542592a;Tatiana;Suarez;18.32;32
d7338bcb141abd2c;Antonina;Shevchenko;17.96;33
4498b382c65a7faa;Roxanne;Modafferi;16.78;34
528b071cf3da7c56;Luana;Carolina;14.68;35
b1e5bcaad32a3cac;Priscila;Cachoeira;13.08;36
70d2329a92864fdb;Sabina;Mazo;9.88;37
5078e1dacf9d25f4;Luana;Santos;9.5;38
80d8aed0ca9b00f3;Montana;De La Rosa;8.7;39
4798e823ada58fe9;Veronica;Hardy;8.31;40
568bbad0eaced57c;Shanna;Young;8.27;41
26e3f3928b1891d9;Hannah;Goldy;7.68;42
5f179af5fffeb9f6;Cortney;Casey;6.54;43
e99821959a840bb8;Lara;Procopio;5.15;44
122ac9b816d8b71c;Shana;Dobson;4.58;45
aa0c573da7119292;Juliana;Miller;4.25;46
59c438c81fbf3ece;Tereza;Bleda;4.0;47
abcf2cc6efc42031;Iasmin;Lucindo;3.8;48
9dedfdd91070ddd8;Victoria;Leonardo;3.4;49
4234f0097c83fa62;Sijara;Eubanks;2.68;50
016a8d958883167c;Gina;Mazany;2.21;51
297a2b35444c245b;Mandy;Bohm;2.19;52
cc8c623cca88f54f;Mayra;Bueno Silva;2.03;53
928ae2e5b5f7a9ec;Justine;Kish;1.78;54
f72465a784c1b084;Jessica;Eye;1.55;55
eebc23626e38f5dc;Liana;Jojua;1.06;56
a20f234df70f2182;Ji Yeon;Kim;0.0;57
4c2d90e335e6df19;Alexis;Davis;0.0;58
fc6e681bf6658faf;Ashlee;Evans-Smith;0.0;59
f923e012414c883e;Lauren;Mueller;0.0;60
1de9ad94de18eeaf;Nicco;Montano;0.0;61
4d5197f331c47290;Paige;VanZant;0.0;62
51a0c09cbe9b8472;Liz;Carmouche;0.0;63
5c126c6aac3ef364;Poliana;Botelho;0.0;64
6c8072b61c276e67;Jessica-Rose;Clark;0.0;65
01784fbc27c68b14;Rachael;Ostovich;0.0;66
7559395ad833c074;Miranda;Granger;0.0;67
82cbb809d5ee565c;Mara;Romero Borella;0.0;68
fdbefee0827e1567;Wu;Yanan;0.0;69
